"episode","Provider","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","qstarrating","urbanlocation","joinnetwork","jchaoaccredited","qieffort","reform","mdaffiliation","ownershipstatus","hospitalbedsize"
19429,490110,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,1,2,2,2,1,,1,1,,3,3,2
16999,490111,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,1,1,2,3,0,1,1,0,0,1,3,2
19380,490112,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,1,2,1,2,1,0,1,1,0,3,3,3
17835,490113,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,2,1,2,2,1,1,0,1,1,1,2,2
17348,490114,376,45.94,75,1.01,44.42,0.95,0.24,16.05,18.16,4.7,11.74,63.59,12.49,2.336278630683,81.80876443,119.64186473,3,1,0,3,0,1,1,0,1,1,2,1
17149,490115,320,51.09,75,1.01,43.69,8.38,1.11,14.83,17.86,5.61,10.32,70.87,7.03,1.961790905189,63.899536149,117.41705068,2,0,3,2,0,,1,0,,2,2,2
16659,490116,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,0,0,2,3,1,,1,1,,1,3,2
15755,490117,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,1,0,0,3,0,1,1,0,0,1,2,2
20250,490118,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,1,3,1,4,1,1,1,1,0,1,3,2
18514,490119,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,1,1,3,4,1,1,0,1,1,1,2,2
19142,490120,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,1,2,1,2,1,0,0,1,0,2,1,2
18843,490122,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,0,2,1,3,1,1,1,1,1,1,2,2
15075,490123,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,0,0,3,3,0,,1,0,,1,2,1
15430,490126,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,0,0,1,3,0,,1,1,,2,2,2
14666,490127,376,45.94,75,1.01,44.42,0.95,0.24,16.05,18.16,4.7,11.74,63.59,12.49,2.336278630683,81.80876443,119.64186473,0,0,0,3,0,0,1,0,0,1,2,2
16613,490130,429,19.19,75,0.9,43.63,19.26,1.01,4.06,15.34,4.53,9.21,76.02,2.87,1.283341157905,83.059913363,145.36188537,0,1,0,3,1,0,1,1,1,1,2,1
20121,490136,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,0,2,2,3,1,0,1,1,,1,2,2
17482,490140,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,0,1,0,3,1,1,1,1,1,1,2,2
17989,490141,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,1,1,2,3,1,,1,1,,1,3,2
19206,490143,429,19.19,75,0.9,43.63,19.26,1.01,4.06,15.34,4.53,9.21,76.02,2.87,1.283341157905,83.059913363,145.36188537,0,0,0,4,1,0,1,1,1,1,2,1
17194,490144,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,,,0,3,1,0,1,1,1,1,2,1
20356,500001,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,1,3,2,4,1,1,1,1,1,2,2,2
21964,500002,440,23.83,75,0.87,46.72,0.43,3.03,10.35,14.67,4.35,6.18,65.37,12.07,1.692657294057,76.920951964,116.10622186,1,3,3,3,0,0,1,1,0,1,2,2
18179,500003,437,43.75,75,0.86,46.73,0.62,2.24,10.28,13.78,4.26,5.56,67.84,12.02,1.280021527244,83.264239566,123.9561377,2,2,3,3,1,0,0,1,1,1,1,2
20808,500005,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,0,3,3,4,1,1,1,1,1,2,2,2
18698,500007,437,43.75,75,0.86,46.73,0.62,2.24,10.28,13.78,4.26,5.56,67.84,12.02,1.280021527244,83.264239566,123.9561377,0,2,3,4,1,1,0,1,0,1,1,1
25421,500008,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,3,3,3,5,1,1,1,1,1,3,1,3
19262,500011,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,1,1,3,3,1,1,1,1,0,1,2,2
20201,500012,442,17.28,75,0.88,45.74,0.6,11.22,14.61,15.65,4.3,5.3,73.16,14.02,1.607697700136,77.402116346,106.30676456,1,3,2,2,1,0,1,1,,2,3,2
19295,500014,437,43.75,75,0.86,46.73,0.62,2.24,10.28,13.78,4.26,5.56,67.84,12.02,1.280021527244,83.264239566,123.9561377,2,3,1,3,1,1,1,1,1,1,2,2
19190,500015,439,34.47,75,0.87,44.8,2.54,2.3,12.42,13.91,4.51,6.21,64.85,13.58,1.279173764226,90.758253943,144.71160379,2,2,3,2,1,0,1,0,1,2,2,2
19367,500016,440,23.83,75,0.87,46.72,0.43,3.03,10.35,14.67,4.35,6.18,65.37,12.07,1.692657294057,76.920951964,116.10622186,2,3,0,4,1,0,1,1,0,1,2,2
16784,500019,438,33.57,75,0.84,46.41,0.97,1.86,10.53,14.01,4.13,4.79,61.54,13.95,1.296948284347,73.818072994,114.91337093,2,1,2,3,0,0,1,1,,1,2,2
17411,500021,441,32.26,75,0.91,44.89,4.33,2.55,10.34,14.84,4.72,5.78,62.39,12.85,1.362500399788,84.701541994,143.01952919,2,0,2,3,1,1,1,1,0,1,2,2
19964,500024,438,33.57,75,0.84,46.41,0.97,1.86,10.53,14.01,4.13,4.79,61.54,13.95,1.296948284347,73.818072994,114.91337093,2,3,1,3,1,0,1,1,0,2,2,2
